brand_name,mean,median,min,max,count
Maria B,25758.68817204301,22191.0,990.0,81990.0,372
Ethnic,10865.471698113208,9990.0,1690.0,24990.0,265
Nishat Linen,8000.264150943396,6990.0,720.0,39500.0,1060
Cross Stitch,7976.754098360656,4950.0,900.0,65000.0,915
Generation,6178.565656565656,5698.0,1449.0,29998.0,297
Gul Ahmed,4987.5062439961575,4365.0,690.0,20994.0,2082
Limelight,3526.7658807588077,2959.2,799.5,21749.25,1107
